镜号,场次,场名,时间码,时长秒,景别／机位,画面动作摘要,关键状态／变体,摄影来源等级,所需视觉资产ID,所需人物音色ID,同步声音约束ID,后期文字／图形资产ID,资产状态,专业控制
110,15,东风着陆、搜救与任务完成,00:15:32–00:15:40,8,黑场与任务画面转场／后期字幕,字幕：时间压缩｜搜救分队抵达并完成初步安全处置。画面转为直升机和地面车队接近返回舱。,东风回收｜时间压缩后专业处置,D｜后期字幕／解释图卡,BY-ANM-P1-002-东风搜救开舱转移;BY-CRO-P1-003-搜救与医疗团队;BY-LGT-P1-007-搜救着陆区日间自然光;BY-REL-P0-013-返回舱再入搜救状态链;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-009-东风医监与样品双线;BY-SCN-P0-008-预定着陆区与搜救现场;BY-SCN-P1-012-东风医监开舱作业区;BY-VEH-P1-008-搜救直升机与地面车辆,,BY-REL-P1-003-声音来源真实性;BY-SND-P1-006-搜救现场声,BY-SYM-P1-003-任务阶段与时间跳跃标牌;BY-SYM-P1-008-东风搜救时间压缩,阶段1映射完成｜阶段2B按镜头状态调用,避免把真实搜救抵达时间压缩成几秒的假实时。
111,15,东风着陆、搜救与任务完成,00:15:40–00:15:47,7,空中搜救任务机位,直升机俯视返回舱、警戒区和地面车队，红外窗口确认舱体热状态。,东风回收｜时间压缩后专业处置,B｜地面直播／测控任务机位,BY-ANM-P1-002-东风搜救开舱转移;BY-CRO-P1-003-搜救与医疗团队;BY-LGT-P1-007-搜救着陆区日间自然光;BY-REL-P0-013-返回舱再入搜救状态链;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-009-东风医监与样品双线;BY-SCN-P0-008-预定着陆区与搜救现场;BY-SCN-P1-012-东风医监开舱作业区;BY-VEH-P1-008-搜救直升机与地面车辆,BY-VOI-P1-008-搜救指挥声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-003-发动机舱内结构振动;BY-SND-P1-006-搜救现场声,,阶段1映射完成｜阶段2B按镜头状态调用,展示着陆场系统专业视角。
112,15,东风着陆、搜救与任务完成,00:15:47–00:15:55,8,地面搜救近景,处置人员检测外部环境、确认舱体姿态和危险源，随后建立开舱作业区。,东风回收｜时间压缩后专业处置,B｜地面直播／测控任务机位,BY-ANM-P1-002-东风搜救开舱转移;BY-CRO-P1-003-搜救与医疗团队;BY-LGT-P1-007-搜救着陆区日间自然光;BY-PRP-P1-011-返回舱信标与现场安全工具;BY-REL-P0-013-返回舱再入搜救状态链;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-009-东风医监与样品双线;BY-SCN-P0-008-预定着陆区与搜救现场;BY-SCN-P1-012-东风医监开舱作业区,BY-VOI-P1-011-现场指挥声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-006-搜救现场声,,阶段1映射完成｜阶段2B按镜头状态调用,先安全处置，后开舱。
113,15,东风着陆、搜救与任务完成,00:15:55–00:16:09,14,现场医监画面／何文澜画外,医监人员在舱外准备座椅、担架、生命体征设备和遮护；返回舱舱门尚未开启。,东风回收｜时间压缩后专业处置,B｜地面直播／测控任务机位,BY-ANM-P1-002-东风搜救开舱转移;BY-CRO-P1-003-搜救与医疗团队;BY-LGT-P0-004-月面艺术化任务日光;BY-LGT-P1-007-搜救着陆区日间自然光;BY-PRP-P0-006-东风医监转移设备;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P0-013-返回舱再入搜救状态链;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-009-东风医监与样品双线;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P0-008-预定着陆区与搜救现场;BY-SCN-P1-012-东风医监开舱作业区,BY-VOI-P1-012-何文澜声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-006-搜救现场声,,阶段1映射完成｜阶段2B按镜头状态调用,解释发生在处置画面上，不占用开舱关键口令。
114,15,东风着陆、搜救与任务完成,00:16:09–00:16:18,9,开舱任务机位,舱门按程序开启，医监人员先与乘组建立目视和语音联系，再进入初步评估。,东风回收｜时间压缩后专业处置,B｜地面直播／测控任务机位,BY-ANM-P1-002-东风搜救开舱转移;BY-CRO-P1-003-搜救与医疗团队;BY-LGT-P1-007-搜救着陆区日间自然光;BY-REL-P0-013-返回舱再入搜救状态链;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-009-东风医监与样品双线;BY-SCN-P0-008-预定着陆区与搜救现场;BY-SCN-P1-012-东风医监开舱作业区,BY-VOI-P1-015-医监人员声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-006-搜救现场声,,阶段1映射完成｜阶段2B按镜头状态调用,不让航天员立即自行走出返回舱。
115,15,东风着陆、搜救与任务完成,00:16:18–00:16:29,11,地面中景,三名航天员按评估结果依次转移到支撑座椅或担架，现场人员保持遮护和固定。,东风回收｜时间压缩后专业处置,B｜地面直播／测控任务机位,BY-ANM-P1-002-东风搜救开舱转移;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-PRP-P0-006-东风医监转移设备;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P1-012-东风医监开舱作业区,,BY-REL-P1-003-声音来源真实性,,阶段1映射完成｜阶段2B按镜头状态调用,具体转移方式按人物状态分别处理。
116,15,东风着陆、搜救与任务完成,00:16:29–00:16:36,7,地面近景,三名航天员坐在支撑座椅上面向任务相机挥手，救援人员仍在旁监护。,东风回收｜时间压缩后专业处置,B｜地面直播／测控任务机位,BY-ANM-P1-002-东风搜救开舱转移;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-PRP-P0-006-东风医监转移设备;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P1-012-东风医监开舱作业区,BY-VOI-P0-001-杨凛声音,BY-REL-P1-003-声音来源真实性,,阶段1映射完成｜阶段2B按镜头状态调用,挥手不等于已经完成医学处置。
117,15,东风着陆、搜救与任务完成,00:16:36–00:16:44,8,样品接收与北京飞控交叉,密封样品箱由专门人员完成编号、交接和转运；北京飞控主屏同时显示乘组安全与样品接收。,东风回收｜时间压缩后专业处置,B｜地面直播／测控任务机位,BY-ANM-P1-002-东风搜救开舱转移;BY-CRO-P1-001-北京飞控任务团队;BY-LGT-P1-003-飞控大厅任务光;BY-PRP-P0-005-密封样品转移容器;BY-PRP-P1-008-主样品容器编号与固定座;BY-PRP-P1-013-东风样品接收设备;BY-REL-P0-008-样品转移链;BY-REL-P1-006-月面科学路线与样品链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-SCN-P1-005-月面后段科考区;BY-SCN-P1-012-东风医监开舱作业区,BY-VOI-P1-004-北京飞控主调度声音;BY-VOI-P1-008-搜救指挥声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-008-飞控与测控大厅底噪,BY-SYM-P1-005-样品编号与封签模板,阶段1映射完成｜阶段2B按镜头状态调用,任务完成由人员和样品两条线共同成立。
118,15,东风着陆、搜救与任务完成,00:16:44–00:16:54,10,媒体区记者收束,林知夏面向镜头，身后大屏是三名航天员挥手与返回舱现场。,常规任务状态,B｜地面直播／测控任务机位,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CHR-P1-002-林知夏;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-CST-P1-004-林知夏记者服装;BY-LGT-P1-008-飞控媒体区直播光;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-008-三段直播结构链;BY-SCN-P1-003-飞控中心媒体区,BY-VOI-P1-002-林知夏声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-009-媒体区直播现场声,BY-SYM-P1-007-直播进口出口与倒计时,阶段1映射完成｜阶段2B按镜头状态调用,避免把艺术推演说成已经发生的现实事件。
119,15,东风着陆、搜救与任务完成,00:16:54–00:17:00,6,黑场／片尾推演声明,黑场字幕重申：本片依据公开信息进行合理艺术推演；任务日期、人物、呼号、着陆坐标、未公开构型及部分流程为艺术创作。,常规任务状态,D｜后期字幕／解释图卡,BY-REL-P1-007-摄影来源证据层级,,BY-REL-P1-003-声音来源真实性;BY-SND-P1-003-发动机舱内结构振动,BY-SYM-P0-002-艺术化光照偏差推演声明;BY-SYM-P1-001-未来纪实推演标识;BY-SYM-P1-003-任务阶段与时间跳跃标牌,阶段1映射完成｜阶段2B按镜头状态调用,片尾声明计入素材时长；最终剪辑可与片尾字幕合并。
